Gene
LCOR
PDE4D
ZBTB34
NR5A2
DCBLD2
FNDC3A
IRS1
FBXW7
DDAH1
EVI5
MITF
BCL2
ATP8A2
NUFIP2
PPM1L
MINDY2
SOX5
RALGPS2
ANKRD46
SATB1
PPP1R3B
GID4
NFIA
MSN
DBT
CPT1A
CROT
HADHB
ZC3H12C
SATB2
ABHD2
PPP1R9A
ZNF281
ABCA1
SYNPO2L
FRMD3
INO80D
PTPRN2
RFX3
PEG10
CAPN6
RDH11
RALY
POU2F1
MDM4
ZDHHC16
LEF1
SMAD4
MYCN
FOSL1
MLLT1
E2F3
FLOT2
TSN
CCNE2
ADAM10
PRKAR1A
ATXN1
SOX5
EDEM1
DDIT3
PPP1R12A
SLC25A25
MIGA1
NHLRC3
IGF1R
NIPA1
TP53INP1
