hsa-miR-144,hsa-miR-215,hsa-miR-224,hsa-miR-139,hsa-miR-584,hsa-miR-7-3
46565.0,38586.0,35654.0,33662.0,31691.0,39613.0
5394.0,12922.0,9203.0,6210.0,3169.0,5246.0
22742.0,14679.0,20536.0,15123.0,6586.0,8254.0
2036.0,2948.0,2326.0,600.0,289.0,1684.0
743658.0,564194.0,601713.0,429547.0,113214.0,139440.0
52659.0,148481.0,116001.0,32368.0,10455.0,22845.0
50366.0,46564.0,56681.0,28524.0,11469.0,14182.0
2320.0,2857.0,4114.0,1718.0,1733.0,6077.0
2677.0,4101.0,5340.0,1288.0,1584.0,3298.0
72464.0,132175.0,108409.0,50392.0,35504.0,37357.0
112773.0,195525.0,214122.0,56540.0,63360.0,41498.0
4325.0,7956.0,6680.0,2370.0,2088.0,2647.0
2766.0,5526.0,4681.0,1482.0,1032.0,1040.0
13439.0,18456.0,19961.0,6855.0,7101.0,10921.0
5501.0,6968.0,5631.0,2802.0,1590.0,6512.0
72262.0,121128.0,97113.0,54832.0,36618.0,70945.0
1812.0,737.0,2524.0,566.0,287.0,1091.0
2127.0,2011.0,3527.0,1146.0,1527.0,1947.0
7217.0,5840.0,7132.0,3233.0,3954.0,5956.0
2150.0,1123.0,1812.0,484.0,713.0,1100.0
1209.0,1973.0,2908.0,1106.0,2339.0,1227.0
10604.0,10011.0,12224.0,4913.0,2755.0,3550.0
5086.0,1185.0,1676.0,321.0,296.0,646.0
3236.0,623.0,1640.0,233.0,177.0,562.0
